ProvID,Provinsi,Tanggal,Komoditas,Nilai,NilaiDiff,SemuaProvinsi,Kelompok,stdDev,Percentage,SemuaPercentage,stdDevPercentage,TanggalLast,TanggalInflasi,show,tanggal
17,Bali,06 Mar 24,Beras,16200.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
27,Sulawesi Tenggara,06 Mar 24,Beras,16200.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
20,Kalimantan Barat,06 Mar 24,Beras,16350.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
9,Kepulauan Bangka Belitung,06 Mar 24,Beras,16450.0,-Rp50,15950.0,3,1250.0,-0.3,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
28,Sulawesi Tengah,06 Mar 24,Beras,16500.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
11,Banten,06 Mar 24,Beras,16750.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
24,Kalimantan Utara,06 Mar 24,Beras,16850.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
32,Maluku Utara,06 Mar 24,Beras,16850.0,Rp150,15950.0,3,1250.0,0.9,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
3,Sumatera Barat,06 Mar 24,Beras,17200.0,Rp0,15950.0,3,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
33,Papua,06 Mar 24,Beras,17350.0,Rp0,15950.0,2,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
25,Gorontalo,06 Mar 24,Beras,18000.0,Rp0,15950.0,2,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
21,Kalimantan Selatan,06 Mar 24,Beras,18650.0,Rp0,15950.0,1,1250.0,0.0,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
22,Kalimantan Tengah,06 Mar 24,Beras,19550.0,Rp50,15950.0,1,1250.0,0.26,0.0,,05 Mar 24,06 Mar / 05 Mar,True,2024-03-06
2,Sumatera Utara,07 Mar 24,Beras,13800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
1,Aceh,07 Mar 24,Beras,13850.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
26,Sulawesi Selatan,07 Mar 24,Beras,14100.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
5,Kepulauan Riau,07 Mar 24,Beras,14550.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
18,Nusa Tenggara Barat,07 Mar 24,Beras,14750.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
6,Jambi,07 Mar 24,Beras,14800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
10,Lampung,07 Mar 24,Beras,14800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
30,Sulawesi Barat,07 Mar 24,Beras,15250.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
16,Jawa Timur,07 Mar 24,Beras,15300.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
8,Sumatera Selatan,07 Mar 24,Beras,15400.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
